PMN (111) big, 29.1.2020, 16:30
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=5.778e+00  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	Tan(Delta)  	M Time M[s]	M Temp [K]
4.01615e+02	2.41959e+03	2.64221e+00	8.49296e-12	1.61698e-09	1.09201e-03	2.39444e+03	4.01615e+02
4.09343e+02	2.19280e+03	2.55856e+00	8.22406e-12	1.46542e-09	1.16680e-03	2.55553e+03	4.09343e+02
4.17548e+02	1.98585e+03	2.53832e+00	8.15902e-12	1.32712e-09	1.27821e-03	2.72477e+03	4.17548e+02
4.25713e+02	1.80900e+03	2.53962e+00	8.16320e-12	1.20893e-09	1.40388e-03	2.89556e+03	4.25713e+02
4.33941e+02	1.65494e+03	2.52820e+00	8.12649e-12	1.10597e-09	1.52767e-03	3.06733e+03	4.33941e+02
4.42033e+02	1.52253e+03	2.57570e+00	8.27915e-12	1.01748e-09	1.69172e-03	3.23579e+03	4.42033e+02
4.49380e+02	1.41987e+03	2.56234e+00	8.23623e-12	9.48880e-10	1.80463e-03	3.40244e+03	4.49380e+02
4.51405e+02	1.41196e+03	2.53018e+00	8.13285e-12	9.43594e-10	1.79196e-03	3.57092e+03	4.51405e+02
4.49736e+02	1.45065e+03	2.46855e+00	7.93474e-12	9.69447e-10	1.70169e-03	3.73865e+03	4.49736e+02
4.49744e+02	1.45677e+03	2.44913e+00	7.87232e-12	9.73537e-10	1.68121e-03	3.90658e+03	4.49744e+02
4.50255e+02	1.45533e+03	2.44802e+00	7.86874e-12	9.72576e-10	1.68211e-03	4.07419e+03	4.50255e+02
4.50079e+02	1.46342e+03	2.43323e+00	7.82121e-12	9.77983e-10	1.66270e-03	4.24089e+03	4.50079e+02
4.49911e+02	1.46899e+03	2.43612e+00	7.83051e-12	9.81703e-10	1.65837e-03	4.40847e+03	4.49911e+02
4.50028e+02	1.47044e+03	2.42414e+00	7.79199e-12	9.82676e-10	1.64858e-03	4.57600e+03	4.50028e+02
4.50060e+02	1.47172e+03	2.40844e+00	7.74152e-12	9.83531e-10	1.63648e-03	4.74424e+03	4.50060e+02
4.50049e+02	1.47372e+03	2.37169e+00	7.62340e-12	9.84869e-10	1.60932e-03	4.91175e+03	4.50049e+02
4.49643e+02	1.48462e+03	2.37618e+00	7.63783e-12	9.92153e-10	1.60053e-03	5.07958e+03	4.49643e+02
4.45020e+02	1.57285e+03	2.29471e+00	7.37597e-12	1.05112e-09	1.45895e-03	5.24816e+03	4.45020e+02
4.38568e+02	1.69653e+03	2.23390e+00	7.18049e-12	1.13377e-09	1.31674e-03	5.41861e+03	4.38568e+02
4.32768e+02	1.81616e+03	2.14451e+00	6.89316e-12	1.21372e-09	1.18079e-03	5.58846e+03	4.32768e+02
4.27168e+02	1.94289e+03	2.07199e+00	6.66005e-12	1.29841e-09	1.06645e-03	5.75942e+03	4.27168e+02
4.21546e+02	2.08200e+03	2.00577e+00	6.44720e-12	1.39137e-09	9.63384e-04	5.92907e+03	4.21546e+02
4.15908e+02	2.23744e+03	1.96377e+00	6.31222e-12	1.49525e-09	8.77688e-04	6.09855e+03	4.15908e+02
4.10498e+02	2.39991e+03	1.93100e+00	6.20689e-12	1.60383e-09	8.04614e-04	6.25999e+03	4.10498e+02
4.05160e+02	2.57660e+03	1.90360e+00	6.11879e-12	1.72191e-09	7.38802e-04	6.41984e+03	4.05160e+02
3.99743e+02	2.77533e+03	1.90181e+00	6.11304e-12	1.85472e-09	6.85254e-04	6.58231e+03	3.99743e+02
3.94314e+02	2.99430e+03	1.90358e+00	6.11875e-12	2.00105e-09	6.35734e-04	6.74517e+03	3.94314e+02
3.88932e+02	3.23493e+03	1.94991e+00	6.26767e-12	2.16186e-09	6.02769e-04	6.90646e+03	3.88932e+02
3.83399e+02	3.50932e+03	2.02734e+00	6.51656e-12	2.34523e-09	5.77703e-04	7.07177e+03	3.83399e+02
3.78130e+02	3.79956e+03	2.04505e+00	6.57347e-12	2.53919e-09	5.38233e-04	7.22987e+03	3.78130e+02
3.72847e+02	4.12160e+03	2.25188e+00	7.23831e-12	2.75441e-09	5.46361e-04	7.38790e+03	3.72847e+02
3.67511e+02	4.48065e+03	2.39806e+00	7.70816e-12	2.99436e-09	5.35203e-04	7.54797e+03	3.67511e+02
3.62142e+02	4.88066e+03	2.67881e+00	8.61058e-12	3.26168e-09	5.48861e-04	7.70915e+03	3.62142e+02
3.56842e+02	5.32122e+03	2.90833e+00	9.34834e-12	3.55610e-09	5.46553e-04	7.86878e+03	3.56842e+02
3.51203e+02	5.84479e+03	3.34823e+00	1.07623e-11	3.90599e-09	5.72857e-04	8.03796e+03	3.51203e+02
3.45508e+02	6.42357e+03	3.84516e+00	1.23596e-11	4.29278e-09	5.98602e-04	8.20759e+03	3.45508e+02
3.39940e+02	7.05853e+03	4.52982e+00	1.45604e-11	4.71712e-09	6.41751e-04	8.37411e+03	3.39940e+02
3.34336e+02	7.76471e+03	5.38138e+00	1.72975e-11	5.18905e-09	6.93055e-04	8.54305e+03	3.34336e+02
3.28756e+02	8.53310e+03	6.26357e+00	2.01332e-11	5.70255e-09	7.34032e-04	8.71025e+03	3.28756e+02
3.23174e+02	9.37497e+03	7.79948e+00	2.50701e-11	6.26517e-09	8.31947e-04	8.87717e+03	3.23174e+02
